gcs_ts,fol_local_ts,fol_sync_off_ms,fol_event,fol_seq,fol_lat,fol_lon,fol_rel_alt,fol_vn,fol_ve,fol_vd,fol_heading,fol_local_x,fol_local_y,fol_local_z,fol_fc_mode,fol_fc_armed,fol_fc_connected,fol_fc_sys_status,fol_batt_v,fol_batt_a,fol_batt_pct,fol_ldr_sysid,fol_ldr_lat,fol_ldr_lon,fol_ldr_alt,fol_ldr_vn,fol_ldr_ve,fol_ldr_vd,fol_ldr_hdg,fol_ldr_fc_mode,fol_ldr_armed,fol_ldr_fc_conn,fol_ldr_batt_v,fol_ldr_guid,fol_ldr_alive,fol_ldr_hb_ts,fol_ldr_stamp,fol_ldr_data_age_s,fol_rssi,fol_remrssi,fol_noise,fol_remnoise,fol_txbuf,fol_rxerrors,fol_radio_alive,fol_cmd_vn,fol_cmd_ve,fol_cmd_vd,fol_cmd_yaw_rate,fol_cmd_type_mask,fol_gcs_cmd,fol_gcs_lat,fol_gcs_lon,fol_mission,fol_guid_mode,fol_dist_m,fol_hz_gps,fol_hz_vel,fol_hz_peer,fol_hz_cmd,ldr_local_ts,ldr_sync_off_ms,ldr_event,ldr_seq,ldr_lat,ldr_lon,ldr_rel_alt,ldr_vn,ldr_ve,ldr_vd,ldr_heading,ldr_local_x,ldr_local_y,ldr_local_z,ldr_fc_mode,ldr_fc_armed,ldr_fc_connected,ldr_fc_sys_status,ldr_batt_v,ldr_batt_a,ldr_batt_pct,ldr_peer_id,ldr_peer_lat,ldr_peer_lon,ldr_peer_alt,ldr_peer_vn,ldr_peer_ve,ldr_peer_vd,ldr_peer_hdg,ldr_peer_fc_mode,ldr_peer_armed,ldr_peer_fc_conn,ldr_peer_batt_v,ldr_peer_guid,ldr_peer_alive,ldr_peer_hb_ts,ldr_peer_stamp,ldr_peer_age_s,ldr_rssi,ldr_remrssi,ldr_noise,ldr_remnoise,ldr_txbuf,ldr_rxerrors,ldr_radio_alive,ldr_gcs_cmd,ldr_gcs_lat,ldr_gcs_lon,ldr_dist_m,ldr_hz_gps,ldr_hz_vel,ldr_hz_peer,true_dist_m
1772707811.707646,1772707811.707646,0.0,MISSION,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.52171,-2814.91,PEER,7,28.3743276,77.0696894,4.21,-0.0259,-0.0326,0.0052,13.1,0.1892,-6.6316,6.9904,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743276,77.0696894,4.213,-0.02,0.0,0.0,13.1,4,False,True,0.0,0,True,1772707814.141,1772707814.402,0.1193,247,247,108,115,95,2,True,0,0.0,0.0,0.003,10.0,10.0,16.0,-1.0
1772707811.717873,1772707813.309636,-1591.77,MISSION,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.242,0.01,0.0,-0.01,13.0,4,False,True,0.0,0,True,1772707812.54,1772707813.188,0.1216,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.52171,-2814.91,PEER,7,28.3743276,77.0696894,4.21,-0.0259,-0.0326,0.0052,13.1,0.1892,-6.6316,6.9904,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743276,77.0696894,4.213,-0.02,0.0,0.0,13.1,4,False,True,0.0,0,True,1772707814.141,1772707814.402,0.1193,247,247,108,115,95,2,True,0,0.0,0.0,0.003,10.0,10.0,16.0,-1.0
1772707811.799122,1772707813.390885,-1591.77,PEER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.24,-0.01,0.03,-0.01,13.0,4,False,True,0.0,0,True,1772707812.54,1772707813.34,0.0513,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707811.765772,0.0,POSE,10,28.3743279,77.0696885,4.237,-0.0896,0.2347,0.1547,13.6,0.0952,-6.5854,7.0179,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696189,4.54,0.0,-0.02,0.0,7.1,4,False,True,0.0,0,True,1772707811.182,1772707811.714,0.0522,248,248,111,111,95,2,True,0,0.0,0.0,6.964,10.0,10.0,10.0,-1.0
1772707811.806843,1772707811.806843,0.0,MISSION,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707811.765772,0.0,POSE,10,28.3743279,77.0696885,4.237,-0.0896,0.2347,0.1547,13.6,0.0952,-6.5854,7.0179,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696189,4.54,0.0,-0.02,0.0,7.1,4,False,True,0.0,0,True,1772707811.182,1772707811.714,0.0522,248,248,111,111,95,2,True,0,0.0,0.0,6.964,10.0,10.0,10.0,-1.0
1772707811.815014,1772707813.406776,-1591.77,MISSION,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.24,-0.01,0.03,-0.01,13.0,4,False,True,0.0,0,True,1772707812.54,1772707813.34,0.0672,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.622162,-2814.91,PEER,8,28.3743276,77.0696894,4.208,-0.0214,-0.0243,0.0078,13.1,0.1878,-6.6337,6.9886,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743276,77.0696894,4.211,-0.02,-0.02,0.0,13.1,4,False,True,0.0,0,True,1772707814.141,1772707814.572,0.0504,247,248,110,115,96,2,True,0,0.0,0.0,0.003,10.0,10.0,16.0,-1.0
1772707811.900012,1772707813.491776,-1591.77,PEER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.238,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707813.47,0.0221,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,9.0,0.0,1772707811.86301,0.0,VEL,1,28.3743278,77.0696887,4.226,-0.0857,0.2638,-0.0233,13.4,0.1203,-6.598,7.0063,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696189,4.54,0.0,-0.02,0.0,7.1,4,False,True,0.0,0,True,1772707811.182,1772707811.714,0.1494,248,248,111,111,95,2,True,0,0.0,0.0,6.986,10.0,10.0,11.0,-1.0
1772707811.90718,1772707811.90718,0.0,MISSION,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.721744,-2814.91,PEER,9,28.3743276,77.0696894,4.208,-0.0214,-0.0243,0.0078,13.1,0.1878,-6.6337,6.9886,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743276,77.0696894,4.21,-0.02,-0.03,0.0,13.1,4,False,True,0.0,0,True,1772707814.141,1772707814.667,0.0547,247,248,110,115,96,2,True,0,0.0,0.0,0.002,10.0,10.0,16.0,-1.0
1772707811.914826,1772707813.50659,-1591.77,MISSION,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.238,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707813.47,0.0369,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,9.0,0.0,1772707814.721744,-2814.91,PEER,9,28.3743276,77.0696894,4.208,-0.0214,-0.0243,0.0078,13.1,0.1878,-6.6337,6.9886,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743276,77.0696894,4.21,-0.02,-0.03,0.0,13.1,4,False,True,0.0,0,True,1772707814.141,1772707814.667,0.0547,247,248,110,115,96,2,True,0,0.0,0.0,0.002,10.0,10.0,16.0,-1.0
1772707811.999694,1772707813.591459,-1591.77,PEER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.238,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707813.47,0.1218,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,9.0,0.0,1772707811.96269,0.0,VEL,2,28.3743278,77.0696889,4.233,-0.1254,0.1253,-0.069,13.2,0.1387,-6.611,7.0139,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743279,77.0696882,4.248,0.02,0.1,-0.01,13.6,4,False,True,0.0,0,True,1772707811.182,1772707811.868,0.0943,248,248,111,111,95,2,True,0,0.0,0.0,0.071,10.0,10.0,11.0,-1.0
1772707812.006839,1772707812.006839,0.0,MISSION,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.821519,-2814.91,PEER,10,28.3743276,77.0696894,4.208,-0.0214,-0.0243,0.0078,13.1,0.1878,-6.6337,6.9886,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743276,77.0696894,4.21,-0.02,-0.03,0.0,13.1,4,False,True,0.0,0,True,1772707814.141,1772707814.667,0.1545,247,248,110,115,96,2,True,0,0.0,0.0,0.002,10.0,10.0,16.0,-1.0
